pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
7475248,The Loon Sweater,the-loon-sweater,,False,,,,null,,,,,,,,,,,,,,,
1326659,Sweater No. 25,sweater-no-25,,False,,,,null,,,,,,,,,,,,,,,
1237485,Sweater No. 20,sweater-no-20,,False,,,,null,,,,,,,,,,,,,,,
1331628,Lyon Sweater,lyon-sweater,,False,,,,null,,,,,,,,,,,,,,,
7498129,Desi Sweater,desi-sweater,,False,,,,null,,,,,,,,,,,,,,,
1007943,Sweater No. 6,sweater-no-6,,False,,,,null,,,,,,,,,,,,,,,
7282561,Celeste Sweater,celeste-sweater-4,,False,,,,null,,,,,,,,,,,,,,,
7497142,Æbleblomst | Apple Flower,bleblomst--apple-flower,,False,,,,null,,,,,,,,,,,,,,,
7498584,Sweater Burbuja,sweater-burbuja,,False,,,,null,,,,,,,,,,,,,,,
7498473,Nintai Mini Sweater,nintai-mini-sweater,,False,,,,null,,,,,,,,,,,,,,,
7446187,Ooey Gooey,ooey-gooey,,False,,,,null,,,,,,,,,,,,,,,
1352505,Storm Sweater Junior,storm-sweater-junior,,False,,,,null,,,,,,,,,,,,,,,
1290899,Zipper Sweater Light Man,zipper-sweater-light-man,,False,,,,null,,,,,,,,,,,,,,,
7290096,Doppio Sweater,doppio-sweater,,False,,,,null,,,,,,,,,,,,,,,
1299115,Eun Sweater,eun-sweater,,False,,,,null,,,,,,,,,,,,,,,
1290188,Moby Sweater Man,moby-sweater-man,,False,,,,null,,,,,,,,,,,,,,,
7315487,Braidy Loop Sweater,braidy-loop-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497510,Frankie Blouse,frankie-blouse,,False,,,,null,,,,,,,,,,,,,,,
7484357,Rosie Yoke Sweater,rosie-yoke-sweater,,False,,,,null,,,,,,,,,,,,,,,
7442872,The Sardine Sweater,the-sardine-sweater,,False,,,,null,,,,,,,,,,,,,,,
1063614,Sweater No. 11,sweater-no-11,,False,,,,null,,,,,,,,,,,,,,,
1320995,Sweater No. 24,sweater-no-24,,False,,,,null,,,,,,,,,,,,,,,
7287872,Sweater No. 27,sweater-no-27,,False,,,,null,,,,,,,,,,,,,,,
7497802,Campus Days sweater,campus-days-sweater,,False,,,,null,,,,,,,,,,,,,,,
1268905,Sweater No. 21,sweater-no-21,,False,,,,null,,,,,,,,,,,,,,,
1120762,Louvre Sweater,louvre-sweater,,False,,,,null,,,,,,,,,,,,,,,
7477580,Hannah Sweater V-neck,hannah-sweater-v-neck,,False,,,,null,,,,,,,,,,,,,,,
7495520,Soft Current Sweater,soft-current-sweater,,False,,,,null,,,,,,,,,,,,,,,
7496474,Calgary Bay Sweater,calgary-bay-sweater,,False,,,,null,,,,,,,,,,,,,,,
7331372,Step by Step Cardigan,step-by-step-cardigan,,False,,,,null,,,,,,,,,,,,,,,
1224034,Sweater No. 19,sweater-no-19,,False,,,,null,,,,,,,,,,,,,,,
954217,Sweater No. 1,sweater-no-1,,False,,,,null,,,,,,,,,,,,,,,
1072115,Sweater No. 12,sweater-no-12,,False,,,,null,,,,,,,,,,,,,,,
7376669,Portland Raglan Dog Sweater,portland-raglan-dog-sweater,,True,,,,null,,,,,,,,,,,,,,,
1276230,Sweater No. 22,sweater-no-22,,False,,,,null,,,,,,,,,,,,,,,
7398796,Sweater No. 31,sweater-no-31,,False,,,,null,,,,,,,,,,,,,,,
1007881,Sweater No. 8,sweater-no-8,,False,,,,null,,,,,,,,,,,,,,,
7372154,Bergman Sweater,bergman-sweater,,False,,,,null,,,,,,,,,,,,,,,
1221051,Sweater No. 13,sweater-no-13,,False,,,,null,,,,,,,,,,,,,,,
1276383,Sweater of Swords,sweater-of-swords,,False,,,,null,,,,,,,,,,,,,,,
7288403,Stick Season Sweater,stick-season-sweater,,False,,,,null,,,,,,,,,,,,,,,
7444303,The Florence Sweater,the-florence-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497540,Moruru Collar Sweater,moruru-collar-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497613,Suna Sweater V-Neck,suna-sweater-v-neck,,False,,,,null,,,,,,,,,,,,,,,
1185873,Sweater No. 16,sweater-no-16,,False,,,,null,,,,,,,,,,,,,,,
7497519,Milky Sweater,milky-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497200,Rosie Yoke Blouse,rosie-yoke-blouse,,False,,,,null,,,,,,,,,,,,,,,
7341474,SABAI Top,sabai-top,,False,,,,null,,,,,,,,,,,,,,,
1197383,Sweater No. 17,sweater-no-17,,False,,,,null,,,,,,,,,,,,,,,
1155681,Sweater Wrap Scarf,sweater-wrap-scarf,,True,,,,null,,,,,,,,,,,,,,,
7459904,Firth Sweater,firth-sweater,,False,,,,null,,,,,,,,,,,,,,,
1007879,Sweater No. 7,sweater-no-7,,False,,,,null,,,,,,,,,,,,,,,
1007900,Sweater No. 5,sweater-no-5,,False,,,,null,,,,,,,,,,,,,,,
1176331,SWEATER,sweater-235,,False,,,,null,,,,,,,,,,,,,,,
1288841,Arctic Light Sweater,arctic-light-sweater,,False,,,,null,,,,,,,,,,,,,,,
